"USER_ID_MOVIE_ID","PREDICTED_RATING"
1_10,3.6
1_67,3.6
1_82,3.6
1_97,3.3
1_121,3.1
1_138,3.7
1_142,3.8
1_148,3.5
1_211,3.5
1_254,2.9
1_322,3.8
1_375,2.8
1_437,3.5
1_468,3.6
1_487,3.2
1_556,3.2
1_562,3.8
1_570,3.3
1_589,4.3
1_614,3.3
1_655,3.5
1_682,3.0
1_709,3.4
1_732,3.7
1_740,2.8
1_803,3.4
1_834,2.6
1_895,3.6
1_912,3.4
1_919,3.7
1_936,3.6
1_947,3.3
1_948,3.5
1_971,3.0
1_980,3.2
1_986,4.0
1_1075,3.6
1_1086,2.7
1_1110,2.7
1_1116,3.4
1_1145,3.2
1_1154,3.6
1_1176,3.5
1_1191,3.5
1_1197,3.8
1_1202,3.4
1_1205,2.8
1_1222,2.8
1_1306,3.6
1_1321,3.8
1_1324,3.5
1_1331,4.0
1_1332,3.5
1_1379,3.3
1_1398,3.5
1_1439,3.6
1_1473,3.5
1_1504,3.0
1_1532,3.6
2_83,3.6
2_305,3.7
2_306,3.4
2_403,3.2
2_475,3.6
2_755,4.1
2_757,3.2
2_776,4.0
2_808,3.3
2_810,3.1
2_1008,3.9
2_1032,3.3
2_1049,3.4
2_1224,3.9
2_1249,3.3
2_1306,3.6
2_1325,3.1
2_1364,3.4
2_1379,3.6
2_1383,3.4
2_1398,3.4
3_103,3.6
3_168,3.9
3_218,3.9
3_395,4.1
3_506,3.9
3_533,3.2
3_732,4.0
3_757,3.0
3_827,3.6
3_856,2.9
3_875,3.6
3_948,4.2
3_1011,3.9
3_1023,4.4
3_1105,4.2
3_1117,4.2
3_1168,4.1
3_1188,4.0
3_1393,4.3
3_1481,2.9
4_275,3.6
4_323,3.5
4_330,3.4
4_528,3.9
4_800,3.5
4_810,2.9
4_912,3.6
4_1175,2.8
4_1256,3.8
4_1257,3.5
5_67,3.8
5_128,4.1
5_203,3.7
5_290,3.4
5_395,3.7
5_538,4.0
5_712,4.4
5_715,4.1
5_716,3.4
5_945,3.9
5_948,3.5
5_962,3.5
5_1023,3.6
5_1067,4.6
5_1364,3.6
5_1540,3.9
6_83,3.3
6_138,3.4
6_276,2.6
6_348,3.8
6_350,3.6
6_372,3.4
6_377,2.9
6_399,3.3
6_402,3.3
6_453,3.2
6_464,3.7
6_487,3.1
6_492,4.1
6_501,3.2
6_506,3.4
6_581,3.2
6_603,3.4
6_705,3.6
6_707,3.1
6_710,3.2
6_779,3.4
6_796,3.3
6_811,3.9
6_828,3.5
6_898,3.7
6_912,3.6
6_936,3.3
6_938,2.3
6_945,2.8
6_947,3.0
6_1031,3.2
6_1074,2.5
6_1080,3.9
6_1134,3.2
6_1360,3.0
6_1390,4.1
6_1392,3.5
6_1399,3.6
6_1417,3.5
6_1435,3.3
6_1453,3.7
6_1460,4.0
6_1475,3.1
6_1499,3.2
6_1504,3.5
6_1515,2.9
6_1539,2.9
7_63,3.2
7_275,3.3
7_333,4.1
7_372,2.7
7_709,2.7
7_1214,3.3
7_1364,3.3
8_3,3.4
8_8,3.1
8_42,4.2
8_69,3.8
8_101,3.7
8_111,4.0
8_113,3.1
8_132,2.8
8_153,3.4
8_167,3.3
8_203,3.5
8_210,3.5
8_252,3.6
8_277,4.4
8_310,3.5
8_330,3.4
8_333,4.1
8_335,3.3
8_449,3.3
8_508,2.9
8_539,4.0
8_548,4.4
8_621,3.7
8_644,3.4
8_653,3.7
8_658,3.7
8_674,3.7
8_691,4.5
8_701,3.7
8_704,3.5
8_732,3.5
8_797,3.2
8_841,3.0
8_847,3.5
8_890,4.1
8_919,3.7
8_926,3.0
8_944,3.9
8_975,4.5
8_983,2.9
8_1013,3.2
8_1038,3.8
8_1048,4.0
8_1056,3.8
8_1080,3.8
8_1096,3.5
8_1103,3.8
8_1113,3.9
8_1116,3.3
8_1117,4.3
8_1168,3.7
8_1188,3.1
8_1210,3.3
8_1303,3.3
8_1311,3.6
8_1325,3.8
8_1337,3.7
8_1356,3.3
8_1379,2.7
8_1389,3.7
8_1398,3.1
8_1446,4.3
8_1469,3.7
8_1484,4.1
8_1540,4.0
9_8,2.6
9_79,3.5
9_145,3.0
9_258,3.4
9_313,3.2
9_355,3.9
9_378,3.4
9_474,3.4
9_513,3.1
9_537,3.2
9_603,3.1
9_648,3.1
9_698,3.1
9_701,2.8
9_747,3.6
9_754,3.8
9_762,3.1
9_790,3.1
9_862,3.7
9_869,2.9
9_1004,3.2
9_1037,3.2
9_1152,3.0
9_1233,3.0
9_1257,3.2
9_1267,3.7
9_1272,3.5
9_1325,3.3
9_1355,3.5
9_1364,3.8
9_1392,3.1
10_68,3.4
10_138,3.8
10_185,3.6
10_659,3.2
10_736,3.2
10_892,3.6
10_898,3.6
10_1273,4.3
10_1355,3.9
10_1364,3.1
11_45,3.7
11_168,4.3
11_306,3.7
11_394,4.1
11_565,3.4
11_755,3.5
11_811,3.8
11_862,3.5
11_866,4.0
11_914,3.5
11_1058,3.9
11_1148,4.4
11_1181,4.4
11_1201,4.0
12_313,3.5
12_340,3.5
12_538,4.3
12_604,3.1
12_650,3.2
12_701,3.6
12_1390,4.1
12_1504,3.8
13_6,3.2
13_37,3.5
13_53,4.0
13_67,3.6
13_116,3.4
13_130,3.6
13_177,3.2
13_181,3.6
13_196,4.2
13_305,3.4
13_370,3.5
13_386,3.5
13_424,3.7
13_446,3.6
13_448,4.0
13_465,4.5
13_506,3.5
13_528,3.7
13_548,3.4
13_639,3.5
13_658,3.5
13_694,3.3
13_705,3.6
13_731,2.3
13_791,3.4
13_793,3.7
13_829,3.7
13_837,3.6
13_848,3.4
13_866,3.8
13_877,3.5
13_904,4.3
13_906,4.1
13_944,4.1
13_1011,3.7
13_1012,3.8
13_1078,3.7
13_1117,3.8
13_1197,3.8
13_1198,3.5
13_1249,3.2
13_1281,2.7
13_1289,4.2
13_1330,2.7
13_1331,3.7
13_1342,3.8
13_1359,3.7
13_1390,4.4
13_1410,3.7
13_1473,3.5
13_1484,3.3
13_1506,3.3
13_1517,3.4
14_247,3.5
14_510,3.3
14_607,3.0
14_1033,3.3
14_1127,3.6
14_1256,3.9
14_1338,2.7
14_1455,3.3
15_67,4.1
15_92,3.4
15_127,3.5
15_148,3.7
15_197,3.3
15_232,3.4
15_300,3.5
15_335,3.6
15_342,3.6
15_375,3.6
15_377,3.6
15_385,4.0
15_403,3.9
15_444,4.2
15_510,3.2
15_573,3.6
15_575,3.7
15_580,4.1
15_684,3.3
15_717,3.4
15_732,3.6
15_755,3.9
15_811,3.7
15_866,3.9
15_871,3.5
15_895,3.5
15_898,3.8
15_910,3.2
15_945,3.7
15_947,3.6
15_948,3.7
15_1010,3.6
15_1011,4.2
15_1023,4.2
15_1038,4.2
15_1062,3.3
15_1065,3.5
15_1151,3.6
15_1154,3.6
15_1202,3.8
15_1214,4.1
15_1251,3.1
15_1297,3.3
15_1315,3.9
15_1325,3.8
15_1390,4.5
15_1488,3.4
15_1504,3.5
16_34,3.4
16_49,2.8
16_67,4.1
16_79,3.7
16_138,3.4
16_216,3.5
16_235,3.2
16_247,3.8
16_252,4.3
16_277,4.4
16_322,3.4
16_333,3.6
16_341,3.8
16_365,3.2
16_375,2.6
16_395,4.1
16_501,2.7
16_518,3.6
16_522,3.4
16_523,3.5
16_533,3.0
16_543,3.2
16_569,3.8
16_617,3.4
16_640,3.1
16_658,3.2
16_690,3.5
16_760,3.2
16_791,3.8
16_810,3.3
16_829,3.7
16_869,3.7
16_898,3.5
16_912,3.4
16_916,3.6
16_986,3.7
16_1025,3.3
16_1043,3.5
16_1044,3.8
16_1078,3.0
16_1154,3.9
16_1162,3.1
16_1170,3.9
16_1197,3.7
16_1210,3.4
16_1502,3.7
16_1504,3.0
16_1539,3.1
17_2,3.4
17_36,3.4
17_41,3.4
17_50,3.9
17_58,3.5
17_85,3.7
17_116,2.7
17_120,3.7
17_124,3.7
17_144,3.3
17_187,3.8
17_218,3.2
17_222,3.5
17_224,3.7
17_235,3.5
17_242,3.6
17_251,3.3
17_254,3.5
17_256,3.8
17_302,3.1
17_304,3.2
17_329,2.9
17_333,3.6
17_334,3.7
17_348,3.8
17_365,3.6
17_371,3.3
17_378,3.0
17_389,3.7
17_398,3.5
17_402,3.4
17_407,3.6
17_408,2.8
17_425,3.6
17_454,3.1
17_459,3.5
17_477,2.8
17_487,3.6
17_502,3.6
17_506,4.0
17_512,3.1
17_531,3.0
17_533,3.4
17_554,3.7
17_580,3.9
17_591,3.5
17_600,3.7
17_603,3.6
17_624,2.8
17_640,3.2
17_645,4.2
17_650,3.3
17_661,3.1
17_663,3.8
17_664,2.9
17_707,3.3
17_717,3.6
17_742,3.4
17_760,3.3
17_808,3.6
17_821,3.6
17_847,3.8
17_850,3.2
17_898,2.9
17_905,3.7
17_929,3.7
17_942,3.6
17_947,3.4
17_966,4.4
17_980,3.4
17_986,3.4
17_995,3.4
17_998,3.1
17_999,3.8
17_1000,3.2
17_1002,3.9
17_1009,3.0
17_1029,4.2
17_1033,3.5
17_1041,3.3
17_1043,3.3
17_1048,3.5
17_1049,3.6
17_1050,4.0
17_1054,3.2
17_1059,3.4
17_1062,3.1
17_1068,3.3
17_1081,3.3
17_1105,3.6
17_1145,3.3
17_1155,3.8
17_1160,3.3
17_1161,3.6
17_1163,3.6
17_1170,3.6
17_1194,3.8
17_1205,3.5
17_1206,3.5
17_1284,3.4
17_1289,4.2
17_1315,3.8
17_1321,3.2
17_1328,3.6
17_1338,3.4
17_1346,3.2
17_1360,2.5
17_1383,3.0
17_1386,3.8
17_1389,3.9
17_1391,3.4
17_1397,3.3
17_1398,3.6
17_1415,2.3
17_1427,3.0
17_1439,3.6
17_1444,4.1
17_1468,3.8
17_1473,3.8
17_1480,3.6
17_1499,3.7
17_1504,3.3
17_1521,3.3
17_1525,3.1
17_1531,3.4
17_1532,3.5
17_1535,3.6
18_141,3.7
18_413,3.2
18_604,3.5
18_701,3.0
18_804,3.0
18_839,3.2
18_1364,3.9
18_1520,4.0
19_42,4.4
19_51,3.7
19_99,3.7
19_128,4.0
19_130,3.8
19_157,3.4
19_162,4.3
19_290,4.0
19_299,3.3
19_335,3.7
19_350,3.7
19_403,3.8
19_453,3.7
19_519,3.8
19_543,4.2
19_565,3.5
19_568,3.8
19_579,3.9
19_640,3.7
19_644,3.5
19_646,3.7
19_657,3.7
19_668,3.3
19_675,3.5
19_705,3.5
19_722,3.7
19_776,3.4
19_798,4.0
19_823,3.9
19_829,3.9
19_904,3.6
19_919,4.0
19_937,3.7
19_948,3.9
19_951,3.4
19_955,3.9
19_966,4.3
19_992,3.4
19_1010,3.5
19_1044,3.6
19_1072,3.7
19_1096,4.0
19_1134,3.6
19_1181,4.1
19_1197,3.9
19_1231,3.3
19_1269,4.0
19_1356,3.7
19_1398,3.3
19_1409,3.2
19_1446,4.3
